type,brand,model,socket,form_factor,ram_slots,max_ram,color,price,mb_ddr,mb_ddr_source
Motherboard,Asus,PRIME Z270-A,LGA1151,ATX,4,64000000000,Black / White,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME Z270-AR,LGA1151,ATX,4,64000000000,Black / White,420.0,DDR4,socket_rule
Motherboard,Asus,PRIME Z270-K,LGA1151,ATX,4,64000000000,Black / White,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME Z270-P,LGA1151,ATX,4,64000000000,Black / Silver,405.99,DDR4,socket_rule
Motherboard,Asus,PRIME Z270M-PLUS,LGA1151,Micro ATX,4,64000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME Z370-A II,LGA1151,ATX,4,64000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME Z370-P II,LGA1151,ATX,4,64000000000,Silver / Black,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME Z390-A,LGA1151,ATX,4,128000000000,Silver / Black,176.97,DDR4,socket_rule
Motherboard,Asus,PRIME Z390-P,LGA1151,ATX,4,128000000000,Silver / Black,97.99,DDR4,socket_rule
Motherboard,Asus,PRIME Z390M-PLUS,LGA1151,Micro ATX,4,128000000000,White / Black,251.43,DDR4,socket_rule
Motherboard,Asus,PRIME Z490-A,LGA1200,ATX,4,128000000000,Black / Silver,149.99,DDR4,socket_rule
Motherboard,Asus,PRIME Z490-P,LGA1200,ATX,4,128000000000,Black / Silver,156.99,DDR4,socket_rule
Motherboard,Asus,PRIME Z490-V,LGA1200,ATX,4,128000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME Z490M-PLUS,LGA1200,Micro ATX,4,128000000000,Black / White,148.72,DDR4,socket_rule
Motherboard,Asus,Prime A320I-K,AM4,Mini ITX,2,32000000000,Black,99.99,DDR4,socket_rule
Motherboard,Asus,Prime B360-Plus,LGA1151,ATX,4,64000000000,Black / Gray,0.0,DDR4,socket_rule
Motherboard,Asus,Prime H310I-PLUS R2.0/CSM,LGA1151,Mini ITX,2,32000000000,Black,88.98,DDR4,socket_rule
Motherboard,Asus,Prime H310M-C R2.0/CSM,LGA1151,Micro ATX,2,32000000000,Green,73.98,DDR4,socket_rule
Motherboard,Asus,Prime H370-A/CSM,LGA1151,ATX,4,64000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,Prime H370-Plus,LGA1151,ATX,4,64000000000,Silver / Black,202.49,DDR4,socket_rule
Motherboard,Asus,Prime H370M-Plus/CSM,LGA1151,Micro ATX,4,64000000000,Silver / Black,105.99,DDR4,socket_rule
Motherboard,Asus,Prime TRX40-Pro,sTRX4,ATX,8,256000000000,Black / White,396.99,DDR4,socket_rule
Motherboard,Asus,Prime X299 Edition 30,LGA2066,ATX,8,256000000000,Black / White,749.99,Unknown,insufficient_info
Motherboard,Asus,Prime X299-A II,LGA2066,ATX,8,256000000000,Silver / Black,0.0,Unknown,insufficient_info
Motherboard,Asus,Prime X299-Deluxe II,LGA2066,ATX,8,128000000000,White / Black,486.99,Unknown,insufficient_info
Motherboard,Asus,Prime X470-Pro,AM4,ATX,4,64000000000,Black / White,0.0,DDR4,socket_rule
Motherboard,Asus,Prime Z370-A,LGA1151,ATX,4,64000000000,Black / Silver,406.49,DDR4,socket_rule
Motherboard,Asus,Prime Z370-P,LGA1151,ATX,4,64000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,Pro B460M-C/CSM,LGA1200,Micro ATX,4,128000000000,Green / Black,109.99,DDR4,socket_rule
Motherboard,Asus,Pro H410M-C/CSM,LGA1200,Micro ATX,2,64000000000,Green,79.99,DDR4,socket_rule
Motherboard,Asus,Pro Q470M-C/CSM,LGA1200,Micro ATX,4,128000000000,Green,149.99,DDR4,socket_rule
Motherboard,Asus,Pro WS X299 SAGE II,LGA2066,SSI CEB,8,256000000000,Black / Silver,0.0,Unknown,insufficient_info
Motherboard,Asus,Pro WS X570-ACE,AM4,ATX,4,128000000000,Black,368.63,DDR4,socket_rule
Motherboard,Asus,ProART Z490-CREATOR 10G,LGA1200,ATX,4,128000000000,Black,290.69,DDR4,socket_rule
Motherboard,Asus,Q170M-C/CSM,LGA1151,Micro ATX,4,64000000000,Black / Gold,0.0,DDR4,socket_rule
Motherboard,Asus,Q87M-E/CSM,LGA1150,Micro ATX,4,32000000000,Black / Gold,259.08,DDR4,socket_rule
Motherboard,Asus,Q87T/CSM,LGA1150,Thin Mini ITX,2,16000000000,Black / Gold,74.75,DDR4,socket_rule
Motherboard,Asus,RAMPAGE V EXTREME,LGA2011-3,EATX,8,64000000000,Black / Red,1617.5,Unknown,insufficient_info
Motherboard,Asus,RAMPAGE V EXTREME/U3,LGA2011-3,EATX,8,64000000000,Black / Red,0.0,Unknown,insufficient_info
Motherboard,Asus,ROG CROSSHAIR VI EXTREME,AM4,EATX,4,64000000000,Black / Silver,259.94,DDR4,socket_rule
Motherboard,Asus,ROG Crosshair VII Hero,AM4,ATX,4,64000000000,Black,0.0,DDR4,socket_rule
Motherboard,Asus,ROG Crosshair VII Hero (Wi-Fi),AM4,ATX,4,64000000000,Black,0.0,DDR4,socket_rule
Motherboard,Asus,ROG Crosshair VIII Dark Hero,AM4,ATX,4,128000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,ROG Crosshair VIII Formula,AM4,ATX,4,128000000000,Black,598.99,DDR4,socket_rule
Motherboard,Asus,ROG Crosshair VIII Hero,AM4,ATX,4,128000000000,Black,359.99,DDR4,socket_rule
Motherboard,Asus,ROG Crosshair VIII Hero (WI-FI),AM4,ATX,4,128000000000,Black,0.0,DDR4,socket_rule
Motherboard,Asus,ROG Crosshair VIII Impact,AM4,Mini DTX,2,64000000000,Black,429.99,DDR4,socket_rule
Motherboard,Asus,ROG MAXIMUS IX EXTREME,LGA1151,EATX,4,64000000000,Black / Red,0.0,DDR4,socket_rule
Motherboard,Asus,ROG MAXIMUS VIII HERO ALPHA,LGA1151,ATX,4,64000000000,Black / Red,0.0,DDR4,socket_rule
Motherboard,Asus,ROG MAXIMUS X APEX,LGA1151,EATX,2,32000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,ROG MAXIMUS X CODE,LGA1151,ATX,4,64000000000,Black,0.0,DDR4,socket_rule
Motherboard,Asus,ROG MAXIMUS X FORMULA,LGA1151,ATX,4,64000000000,Black,1890.73,DDR4,socket_rule
Motherboard,Asus,ROG MAXIMUS X HERO,LGA1151,ATX,4,64000000000,Black,0.0,DDR4,socket_rule
Motherboard,Asus,ROG MAXIMUS X HERO (WI-FI AC),LGA1151,ATX,4,64000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,ROG MAXIMUS XI APEX,LGA1151,ATX,2,64000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,ROG MAXIMUS XI CODE,LGA1151,ATX,4,128000000000,Black,0.0,DDR4,socket_rule
Motherboard,Asus,ROG MAXIMUS XI EXTREME,LGA1151,EATX,4,128000000000,Black,0.0,DDR4,socket_rule
Motherboard,Asus,ROG MAXIMUS XI FORMULA,LGA1151,ATX,4,128000000000,Black,1389.0,DDR4,socket_rule
Motherboard,Asus,ROG MAXIMUS XI GENE,LGA1151,Micro ATX,2,64000000000,Black,947.91,DDR4,socket_rule
Motherboard,Asus,ROG MAXIMUS XI HERO,LGA1151,ATX,4,128000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,ROG MAXIMUS XI HERO (WI-FI),LGA1151,ATX,4,128000000000,Black,0.0,DDR4,socket_rule
Motherboard,Asus,ROG MAXIMUS XII APEX,LGA1200,ATX,2,64000000000,Black,597.92,DDR4,socket_rule
Motherboard,Asus,ROG MAXIMUS XII EXTREME,LGA1200,EATX,4,128000000000,Black,971.86,DDR4,socket_rule
Motherboard,Asus,ROG MAXIMUS XII FORMULA,LGA1200,ATX,4,128000000000,Black,474.55,DDR4,socket_rule
Motherboard,Asus,ROG MAXIMUS XII HERO (WI-FI),LGA1200,ATX,4,128000000000,Black,379.99,DDR4,socket_rule
Motherboard,Asus,ROG Maximus XI Hero (Wi-Fi) Call of Duty: Black Ops 4 Edition,LGA1151,ATX,4,128000000000,Black / Orange,456.49,DDR4,socket_rule
Motherboard,Asus,ROG RAMPAGE VI APEX,LGA2066,EATX,4,64000000000,Black,0.0,Unknown,insufficient_info
Motherboard,Asus,ROG RAMPAGE VI EXTREME,LGA2066,EATX,8,128000000000,Black / Silver,0.0,Unknown,insufficient_info
Motherboard,Asus,ROG RAMPAGE VI EXTREME OMEGA,LGA2066,EATX,8,128000000000,Black,1099.0,Unknown,insufficient_info
Motherboard,Asus,ROG Rampage VI Extreme Encore,LGA2066,EATX,8,256000000000,Black / Silver,0.0,Unknown,insufficient_info
Motherboard,Asus,ROG STRIX B250G GAMING,LGA1151,Micro ATX,4,64000000000,Black / Red,0.0,DDR4,socket_rule
Motherboard,Asus,ROG STRIX B350-I GAMING,AM4,Mini ITX,2,32000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,ROG STRIX B360-F GAMING,LGA1151,ATX,4,64000000000,Black,0.0,DDR4,socket_rule
Motherboard,Asus,ROG STRIX B360-G GAMING,LGA1151,Micro ATX,4,64000000000,Red / Black,197.53,DDR4,socket_rule
Motherboard,Asus,ROG STRIX B360-H GAMING,LGA1151,ATX,4,64000000000,Red / Black,207.88,DDR4,socket_rule
Motherboard,Asus,ROG STRIX B360-I GAMING,LGA1151,Mini ITX,2,32000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,ROG STRIX B365-F GAMING,LGA1151,ATX,4,64000000000,,323.99,DDR4,socket_rule
Motherboard,Asus,ROG STRIX B365-G GAMING,LGA1151,Micro ATX,4,64000000000,Black / Red,0.0,DDR4,socket_rule
Motherboard,Asus,ROG STRIX B450-E GAMING,AM4,ATX,4,64000000000,Black,0.0,DDR4,socket_rule
Motherboard,Asus,ROG STRIX B450-F GAMING,AM4,ATX,4,64000000000,Black,119.99,DDR4,socket_rule
Motherboard,Asus,ROG STRIX B450-F GAMING II,AM4,ATX,4,128000000000,Black,180.99,DDR4,socket_rule
Motherboard,Asus,ROG STRIX B460-F GAMING,LGA1200,ATX,4,128000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,ROG STRIX B460-G GAMING,LGA1200,Micro ATX,4,128000000000,Black / Red,0.0,DDR4,socket_rule
Motherboard,Asus,ROG STRIX B460-H GAMING,LGA1200,ATX,4,128000000000,Black / Red,0.0,DDR4,socket_rule
Motherboard,Asus,ROG STRIX B460-I GAMING,LGA1200,Mini ITX,2,64000000000,Black / Silver,145.58,DDR4,socket_rule
Motherboard,Asus,ROG STRIX B550-A GAMING,AM4,ATX,4,128000000000,Black / White,415.98,DDR4,socket_rule
Motherboard,Asus,ROG STRIX B550-E GAMING,AM4,ATX,4,128000000000,Black,269.99,DDR4,socket_rule
Motherboard,Asus,ROG STRIX B550-F GAMING,AM4,ATX,4,128000000000,Black,184.99,DDR4,socket_rule
Motherboard,Asus,ROG STRIX B550-F GAMING (WI-FI),AM4,ATX,4,128000000000,Black,209.99,DDR4,socket_rule
Motherboard,Asus,ROG STRIX B550-I GAMING,AM4,Mini ITX,2,64000000000,Black,239.0,DDR4,socket_rule
Motherboard,Asus,ROG STRIX H270I GAMING,LGA1151,Mini ITX,2,32000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,ROG STRIX H470-I GAMING,LGA1200,Mini ITX,2,64000000000,Black,159.99,DDR4,socket_rule
Motherboard,Asus,ROG STRIX TRX40-XE GAMING,sTRX4,ATX,8,256000000000,Black,549.99,DDR4,socket_rule
Motherboard,Asus,ROG STRIX X299-XE GAMING,LGA2066,ATX,8,128000000000,Black / Silver,0.0,Unknown,insufficient_info
Motherboard,Asus,ROG STRIX X370-I GAMING,AM4,Mini ITX,2,32000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,ROG STRIX X470-F Gaming,AM4,ATX,4,64000000000,Black,0.0,DDR4,socket_rule
Motherboard,Asus,ROG STRIX X470-I GAMING,AM4,Mini ITX,2,32000000000,Black,0.0,DDR4,socket_rule
Motherboard,Asus,ROG STRIX X99 GAMING,LGA2011-3,ATX,8,128000000000,Black,0.0,Unknown,insufficient_info
Motherboard,Asus,ROG STRIX Z270i GAMING,LGA1151,Mini ITX,2,32000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,ROG STRIX Z370-E GAMING,LGA1151,ATX,4,64000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,ROG STRIX Z370-F GAMING,LGA1151,ATX,4,64000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,ROG STRIX Z370-G GAMING (WI-FI AC),LGA1151,Micro ATX,4,64000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,ROG STRIX Z390-E GAMING,LGA1151,ATX,4,128000000000,Black,379.98,DDR4,socket_rule
Motherboard,Asus,ROG STRIX Z390-F GAMING,LGA1151,ATX,4,128000000000,Black,342.37,DDR4,socket_rule
Motherboard,Asus,ROG STRIX Z390-H GAMING,LGA1151,ATX,4,128000000000,Black / Red,349.99,DDR4,socket_rule
Motherboard,Asus,ROG STRIX Z390-I GAMING,LGA1151,Mini ITX,2,64000000000,Black / Silver,409.98,DDR4,socket_rule
Motherboard,Asus,ROG STRIX Z490-A GAMING,LGA1200,ATX,4,128000000000,Black / Silver,249.99,DDR4,socket_rule
Motherboard,Asus,ROG STRIX Z490-E GAMING,LGA1200,ATX,4,128000000000,Black,285.99,DDR4,socket_rule
